Entity1,Relation,Entity2,Frequency,Quality Score
Israel,launch,Airstrikes,3,3.0
Beyonc,share,Rare Glimpse,2,1.0
Joe Biden,express,Support,2,3.0
Netanyahu,hold,Solid Lead,2,3.0
Uk,leave,Eu,2,3.0
Trump,blame,Democrats,2,1.0
Moscow,escalate,War,1,3.0
Us Forces,defend,Taiwan,1,3.0
Viola Davis,fear,Heart Attack,1,4.0
Reality Star,tell,James Corden,1,4.0
Bill Richardson,visit,Moscow,1,3.0
Democrats,nominate,Seth Magaziner,1,3.0
Joe Biden,urge,National Unity,1,4.0
Harry Styles,pay,Tribute,1,3.0
Michigan Supreme Court,revive,Abortion Rights Amendment,1,4.0
Republicans,ignore,Trumps Hoarding,1,3.0
Hbo,release,Sixpart Follow,1,3.0
Yung Gravy,bring,Addison Raes Mom,1,4.0
Butler,tell,Pitchfork,1,3.0
Don Jr,post,Dick Pic,1,4.0
Markwayne Mullin,win,Oklahoma Republican Primary,1,4.0
Irs,launch,Safety Review,1,3.0
Uk Broadcaster,air,Satirical Musical,1,4.0
Russia,begin,War,1,3.0
Us,produce,Record Amount,1,3.0
Charges,accuse,Khan,1,3.0
Mitch Mcconnell,give,Downbeat Forecast,1,4.0
Republicans,win,Control,1,1.0
Salma Alshehab,receive,Lengthy Prison Sentence,1,4.0
Nba,host,Election Day Games,1,3.0
Afghanistan,mark,Oneyear Anniversary,1,3.0
Iran,deny,Involvement,1,3.0
Iran,focus,Decadesold Fatwa,1,3.0
Joe Biden,win,Mount 2024 Doubts Ease,1,4.0
Graham,insult,Hassan,1,3.0
Democrats,leave,Child Tax Credit,1,1.0
Prince,accept,1 Million Pound 12 Million,1,1.0
Lorne Michaels,rumor,Departure,1,3.0
Mira Sorvino,offer,Sweet Tribute,1,4.0
Texas,sue,Biden Administration,1,3.0
Cnn,report,Former President,1,3.0
Extrump Adviser Peter Navarro,accuse,Mike Pence,1,4.0
Prince George,show,Wide Variety,1,4.0
Supreme Court,shake,Nation,1,3.0
Trump,attack,Arizona Attorney General Mark Brnovich,1,3.0
Kendrick Lamar,close,Glastonbury Festival,1,4.0
Joe Armstrong,tell,British Crowd,1,4.0
Americans,cross,Border,1,1.0
Steve Bannon,hail,Trumpbacking Army,1,4.0
Steve Bannon,blast,Murdoch,1,3.0
Jonathan Groff,lead,Epic Spring Awakening Reunion,1,4.0
Jared Kushner,dismiss,White House Counsels Threats,1,4.0
Prince Louis,steal,Show,1,3.0
Pete Buttigieg,call,Door Solution,1,4.0
Dave Chappelle,reveal,Very Fitting Goodbye,1,4.0
Kim Kardashian,discuss,Pete Davidsons,1,4.0
Zegler,play,Ballad,1,3.0
Adam Kinzinger,call,Gun Age,1,4.0
Brian Kemp,win,Gop Nomination,1,4.0
Sebastian Stan,shade,Musk,1,3.0
Republicans,demand,Civility,1,1.0
Don Gorske,eat,Big Mac,1,4.0
John Legend,praise,Brave Chrissy Teigen,1,4.0
Ted Cruz,mock,Republicans,1,1.0
Smith,slap,Chris Rock,1,3.0
Gop Rep Madison Cawthorn,receive,Brutal Reminder,1,4.0
Charles Herbster,lose,Nebraska Gubernatorial Race,1,4.0
Russia,pound,Odesa,1,3.0
Putin,portray,Fighting,1,3.0
Gop,fight,Abortion Rights,1,3.0
Arena,launch,Mass Trainings,1,3.0
Former Reality Star Chyna,sue,Kardashians,1,1.0
Exfbi Assistant Director,accuse,Tucker Carlson,1,4.0
Jon Stewart,receive,Mark Twain Prize,1,4.0
Powerful Tremor,force,Dozens,1,1.0
Biden Administration,urge,Global Trade Chief,1,4.0
Donald Trump,steal,2024 Election,1,4.0
Israeli Police,wound,Palestinians,1,1.0
Russia,resume,Attacks,1,3.0
Volodymyr Zelenskyy Hails Ukrainians,resolve,50 Days,1,4.0
Ron Desantis,signal,Support,1,3.0
Fda,authorize,First Breathalyzer Test,1,3.0
Beth Star,tell,Followers,1,3.0
Russia,prepare,Major Offensive,1,3.0
Russia,appoint,New Ukraine War Commander,1,3.0
Russia,appoint,Gen Alexander Dvornikov,1,3.0
Kevin Spacey,ask,Judge,1,3.0
Idris Elba,reveal,Dr Dre Song,1,4.0
Jimmy Kimmel,trolls,Ted Cruz,1,4.0
Texas,bus,Undocumented Immigrants,1,3.0
Rand Paul,hold,Ketanji Brown Jacksons Senate Vote,1,3.0
Serena Williams,write,Powerful Essay,1,4.0
Extrump Officials,urge,Texas,1,3.0
Sean Penn,tell,Sean Hannity,1,4.0
Gop Rep Fred Upton,announce,Retirement,1,3.0
Stephen Colbert,give,Xrated New Description,1,4.0
Actor,assault,Chris Rock,1,3.0
Joe Biden,slap,Question,1,3.0
Latenight Host,praise,Chris Rock,1,4.0
Hillary Clinton,voice,Giant,1,3.0
